"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"land","land","67","67","Libya","LBY",1623683.55409
"eez","eez","68","68","Malta","MLT",55696.6131031
"land","land","68","68","Malta","MLT",324.97293491
"eez","eez","69","69","Latvia","LVA",28879.5616489
"land","land","69","69","Latvia","LVA",64420.7888996
"eez","eez","7","7","Solomon Islands","SLB",1609756.60808
"land","land","7","7","Solomon Islands","SLB",29191.6373705
"eez","eez","70","70","Estonia","EST",36346.3809072
"land","land","70","70","Estonia","EST",45301.8696363
"eez","eez","71","71","Bulgaria","BGR",35171.8548382
"land","land","71","71","Bulgaria","BGR",111163.097397
"eez","eez","72","72","Romania","ROU",29726.4490526
"land","land","72","72","Romania","ROU",237388.292188
"eez","eez","73","73","Russia","RUS",7613131.62711
"eez-inland","eez-inland","73","73","Russia","RUS",60169.3915617
"land","land","73","73","Russia","RUS",16954165.9593
"eez","eez","74","74","Georgia","GEO",22907.0422961
"land","land","74","74","Georgia","GEO",69918.3966032
"eez","eez","75","75","Ukraine","UKR",134873.157524
"land","land","75","75","Ukraine","UKR",598161.42431
