"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
5528688,303150.031149055,546
5528688,269802.949674902,547
5528688,237772.563429705,548
5528688,207669.020765351,549
5528688,180459.198852251,550
5528688,157648.636892946,551
5530243,137526.818948884,552
5532313,104531.564102694,553
5532313,72815.7342497605,554
5532313,50258.1775829454,555
1143146,43801.9520198423,556
1143146,45318.3660907943,557
1143146,70974.4151689962,558
1143146,104256.658833256,559
1143146,139821.329605385,560
1143146,176292.44882641,561
1143146,213205.348931161,562
1143146,250364.702207709,563
1143146,287675.020481972,564
1143146,325084.328607365,565
1143146,362561.986427084,566
1143146,400088.786767204,567
1143146,437652.088525582,568
1143146,475243.236547149,569
1143146,512856.107671405,570
1143146,550486.249117056,571
5468146,1168071.23604465,572
5468390,1162945.73048712,573
5468390,1161618.88125911,574
5468390,1161517.34749686,575
5468390,1162641.45022172,576
5468390,1164987.64156975,577
5470229,1159006.51713463,578
5470229,1152403.9742547,579
5470229,1147005.75543219,580
5470229,1142828.92687845,581
5470229,1139886.91510377,582
5481449,1137270.32704133,583
5481449,1119574.14826337,584
5481449,1102885.85998264,585
5481449,1087251.8736883,586
5481449,1072718.2871224,587
5481449,1059330.39237718,588
5481449,1047132.13440339,589
5481449,1036165.5290471,590
5481449,1026470.0532747,591
5481449,1018082.02368627,592
5481449,1011033.9824336,593
5481449,1005354.11190138,594
5481449,1001065.70063984,595
5481449,998186.682778878,596
5481449,996729.271344893,597
5481449,996699.702535016,598
5481449,998098.10324943,599
5481449,1000918.48838249,600
5481449,1005148.8880065,601
5481449,1010771.59820336,602
5481449,1017763.54346553,603
5481449,1026096.73378268,604
5481449,1035738.79610185,605
5481449,1046653.55797446,606
5481449,1058801.66088353,607
5481449,1072141.18182164,608
5481449,1086628.24389261,609
5481449,1102217.59970135,610
5481449,1118863.17472547,611
5481449,1136518.56140634,612
5481449,1155137.45809084,613
5481449,1174674.05000155,614
5508165,1169485.19125167,615
5508165,1137192.920816,616
5508165,1105245.82593653,617
5508165,1073674.71905848,618
5508165,1042513.75959242,619
5508165,1011800.84282075,620
5508165,981578.026508895,621
5508165,951891.994249592,622
5508165,922794.552057436,623
5468712,1158330.15615106,624
5468712,1157591.9774638,625
5468713,1158040.50750533,626
5480427,1153456.861219,627
5480427,1135755.54706586,628
5480427,1119047.39161826,629
5480427,1103377.51322176,630
5480427,1088790.74145508,631
5480427,1075331.15395779,632
5480427,1063041.56676264,633
5480427,1051962.98635321,634
5480427,1042134.03487663,635
5480427,1033590.36307347,636
5480427,1026364.06826599,637
5480427,1020483.13686005,638
5480427,1015970.93196754,639
5480427,1012845.74669063,640
5480427,1011120.4421703,641
1136424,555587.222042431,642
1136424,593790.783614313,643
5505802,611795.202936653,644
5505802,597886.27991724,645
5505802,586333.516895858,646
5505802,577278.388910297,647
5506422,570639.137555749,648
5506422,562912.180467072,649
1125052,553282.046347214,650
5509258,539281.95443102,651
5509258,526604.749025188,652
5509258,516666.674909494,653
5528688,482968.572391687,654
5528688,443673.317838096,655
5528688,404447.450171315,656
5528688,365313.321525381,657
5528688,326303.940771402,658
5528688,287470.096857397,659
5528688,248893.968100207,660
5528688,210717.14232911,661
5528688,173203.858880911,662
5528688,136900.676902433,663
5528688,103093.985695882,664
5528688,75228.3216760416,665
5528688,61924.0407510553,666
5530243,28387.3562921337,667
5530426,13246.4647217857,668
5532422,32159.4112879158,669
1143146,45699.0451558494,670
1143146,79208.6334693432,671
1143146,116636.051241537,672
1143146,155171.792628585,673
1143146,194157.044557061,674
1143146,233366.635618525,675
1143146,272703.815950379,676
5468390,1090902.52890331,677
5468390,1089553.01687333,678
5468390,1089645.62199513,679
5468390,1091179.97710448,680
5468390,1094150.01680735,681
5470229,1085977.1208813,682
5470229,1079058.89011491,683
5470229,1073561.46798384,684
5470229,1069506.76420883,685
5470229,1066911.22769538,686
5481449,1063735.81643344,687
5481449,1044694.85762921,688
5481449,1026832.58610921,689
5481449,1010211.52744352,690
5481449,994893.892035231,691
5481449,980940.741626866,692
5481449,968411.057714202,693
5481449,957360.731787147,694
5481449,947841.506148638,695
5481449,939899.902507404,696
5481449,933576.18255499,697
5481449,928903.389206696,698
5481449,925906.518105706,699
5481449,924601.865673434,700
5481449,924996.592257597,701
5481449,927088.527226368,702
5481449,930866.228244724,703
5481449,936309.290995004,704
5481449,943388.890047894,705
5481449,952068.518160975,706
5481449,962304.881327061,707
5481449,974048.901197343,708
5481449,987246.775212172,709
5481449,1001841.04744971,710
5481449,1017771.64899039,711
5481449,1034976.87441186,712
5481449,1053394.26977332,713
5481449,1072961.41615643,714
5481449,1093616.60076774,715
5467131,1105645.25310742,716
5467131,1106993.61056469,717
5508165,1096107.4980672,718
5508165,1061466.61651963,719
5508165,1027188.13495743,720
5508165,993309.572668185,721
5508165,959873.275831962,722
5508165,926927.106143586,723
5508165,894525.220715592,724
5508165,862728.947488171,725
5508165,831607.755565703,726
5508165,801240.311857325,727
5508165,771715.602744062,728
5480427,1004812.86201522,729
5480427,991365.870344996,730
5480427,979340.617989358,731
5480427,968790.049054943,732
5480427,959762.797881433,733
5480427,952302.185858945,734
5480427,946445.262089396,735
5480427,942221.93299478,736
5480427,939654.225684419,737
5480427,938755.725746567,738
5480427,939531.222122266,739
5480427,941976.58039272,740
5480427,946078.852220778,741
5480427,951816.614256977,742
5480427,959160.5161166,743
5480427,968074.005499435,744
5480427,978514.190247434,745
5480427,990432.792698563,746
1136424,216520.70392991,747
1136424,255553.985324674,748
1136424,295261.944305438,749
1136424,335405.045056592,750
1136424,375843.883678424,751
1136424,416492.326102455,752
1136424,457294.481336336,753
1136424,498212.58492112,754
1136424,539220.241683848,755
5505802,561646.492644901,756
5505802,542883.706704693,757
5505802,526729.34934862,758
5505802,513429.691466799,759
5505802,503211.129496211,760
5505802,496264.028288059,761
5506422,488047.375553248,762
1125052,479720.181742245,763
1125052,464565.854608726,764
5509258,450744.135584759,765
5509258,440319.301819691,766
5509258,433632.392125625,767
5528688,416046.419011887,768
5528688,374561.664010168,769
5528688,333081.686188538,770
5528688,291608.524150128,771
5528688,250145.568008938,772
5528688,208698.900779801,773
5528688,167280.630479329,774
5528688,125918.781899721,775
5528688,84696.0571180268,776
5528688,44005.189492305,777
5528688,12026.7812755501,778
5528822,19537.5595826245,779
5528822,53939.4544056164,780
5530426,76345.4452850308,781
5525456,81830.9709424148,782
5525456,92132.4126966161,783
5525456,117156.336951541,784
5525456,149692.969979186,785
5525456,185837.335832065,786
5525456,223848.604355291,787
5525456,262918.299304453,788
5525456,302636.776848359,789
5525456,342778.583706545,790
5511664,425958.827796688,791
5511664,445535.387831824,792
5511664,467982.68429256,793
5511664,492908.668963696,794
5511664,519956.989794486,795
5511664,548813.938131497,796
5511664,579209.252596457,797
5511664,610913.357239778,798
5511664,643732.905768599,799
5511664,677505.81550218,800
5511664,712096.452921899,801
5511664,747391.288846284,802
5511664,783295.136699666,803
5511664,819727.976749649,804
5470229,996342.103012851,805
5470229,993284.58706837,806
5470229,991955.698473367,807
5481449,979320.022833478,808
5481449,959436.599485637,809
5481449,940964.729358783,810
5481449,923989.073266891,811
5481449,908593.498375735,812
5481449,894859.561729874,813
5481449,882864.812586162,814
5481449,872680.967788858,815
5481449,864372.036760603,816
5481449,857992.492089023,817
5481449,853585.594526568,818
5481449,851181.984090419,819
5481449,850798.639544993,820
5481449,852438.286457033,821
5481449,856089.301147187,822
5481449,861726.118331246,823
5481449,869310.109595235,824
5481449,878790.863874564,825
5481449,890107.774580702,826
5481449,903191.823735855,827
5481449,917967.451880658,828
5481449,934354.411942237,829
5481449,952269.522600752,830
5481449,971628.258330975,831
5481449,992346.135808967,832
5481449,1014339.87710105,833
5467131,1031732.46231491,834
5467131,1032082.48641223,835
5467131,1034099.50965948,836
5467131,1037773.81213432,837
5508165,1011526.06627787,838
5508165,974550.625588564,839
5508165,937954.163626995,840
5508165,901782.821110522,841
5508165,866089.863691738,842
5508165,830936.940858798,843
5508165,796395.567248253,844
5508165,762548.851901461,845
5508165,729493.492564866,846
5508165,697342.033730523,847
5508165,666225.35262105,848
5508165,636295.278229646,849
5508165,607727.15413607,850
5508165,580722.015086386,851
5508165,555507.854032995,852
5508165,532339.219984189,853
5480427,876199.480608839,854
5480427,870524.406091028,855
5480427,866801.652937834,856
5480427,865056.426845131,857
5480427,865300.693326345,858
5480427,867532.771871313,859
5480427,871737.393269945,860
5480427,877886.215596367,861
5480427,885938.758830331,862
5480427,895843.68804844,863
5480427,907540.354248403,864
5480427,920960.492050056,865
5480427,936029.974626633,866
5480427,952670.536458783,867
5480427,970801.39103139,868
5480427,990340.690255118,869
5480427,1011206.7923408,870
5480427,1033319.32292589,871
5480427,1056600.02912293,872
5480427,1080973.43728132,873
5525128,82448.0597343169,874
5525128,40314.3373264817,875
5525128,14252.1993769657,876
1136424,9258.65061049798,877
1136424,51676.6453085938,878
1136424,94897.5494017655,879
1136424,138169.932501464,880
1136424,181456.969459279,881
1136424,224750.193406191,882
1136424,268046.606506745,883
