flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
SUR,LatinAmerica,12-24m,1982,196.925877243675,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1983,196.932940134869,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1984,196.947014612717,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1985,196.95345675983,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1986,196.969632418777,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1987,196.986199190113,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1988,197.006679791574,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1989,197.026371643889,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1990,197.05227375232,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1991,197.076015743675,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1992,197.103047874289,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1993,197.132773476527,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1994,197.167863261125,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1995,197.19237605571,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1996,197.215649914938,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1997,197.239091252682,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1998,197.264215781041,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1999,197.271009852833,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2000,197.281666200191,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2001,197.286888881024,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2002,197.281767471754,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2003,197.272181004409,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2004,197.251869276877,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2005,197.230399661544,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2006,197.248147169106,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2007,197.497046633475,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2008,197.1447481227,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2009,196.969922386102,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2010,196.87310674623,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2011,196.873174925119,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2012,196.873130278873,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2013,196.873167584511,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2014,196.87314704459,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2015,196.873132057862,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2016,196.873157253938,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,2017,196.873141116103,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,24-50m,1974,197.632940301758,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1975,197.632900471208,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1976,197.632910570009,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1977,197.632927341869,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1978,197.632918004685,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1979,197.632863728757,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1980,197.632931800338,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1981,197.632922756791,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,1982,197.632905889298,0.488898244214761,10,6,651.916474765731
